name,text
Mark Spencer (politician),mark steven spencer born 20 january 1970is an english conservative party politician he was elected at the 2010 general election as the member of parliament mp for sherwoodborn in 1970 spencer attended lambley primary school and col frank seely school in calverton he then qualified at shuttleworth agricultural college in bedfordshire before joining the family farm business a former dairy farm the business has developed and now employs around 50 local people growing potatoes vegetables and producing free range eggs beef and lamb spencer is a past chairman of the national federation of young farmers clubsin 2001 spencer fought his first nottinghamshire county council seat for hucknall and in 2003 he won a seat on gedling district council representing ravenshead and he retained this seat in 2007 in 2005 spencer took the nottinghamshire county council seat of calverton for the conservatives and in 2009 retained his seat with an increased majority in 2006 spencer was appointed shadow spokesman for community safety partnership for nottinghamshire county council and he currently represents the electorate on the four parish councils ravenshead calverton woodborough and lambley in 2010 spencer was elected as member of parliament for sherwood by just 214 votes in this capacity he sits on the governments green watchdog the environmental audit select committeespencer was a trustee of the royal agricultural society of england and for a number of years was the honorary show director of the royal show spencer is a past vice chairman of school governors of woodborough woods foundation school where he was chairman of the disciplinary committee as chairman of the lambley playground fund he helped raise over a 100000 to provide new play equipment in the village and mark is also trustee of the core centre calverton an adult education centrespencers focus is on energy security agriculture and business thanks to being on the governments green watchdog he spends a lot of time working on environmental issues especially energy and has spent a lot of time talking about ensuring britains future energy securitycoming from a farming background spencer also focuses on agriculture and rural communities and he is particularly interested in ensuring that british food production is recognised and promoted as world class in addition he works with the coalfield communities all party parliamentary group appg whose aim is to restore the economies of former coalfield areas spencer has also been campaigning for improved road safety on the a614 and was named the brake road safety parliamentarian of the year 2011 and boosting the wider economy of the east midlands
Madison U. Sowell,madison u sowell is the provost at southern virginia university a liberal arts college located in southwestern virginia and a trustee of the first freedom center whose mission is to advance the human rights of freedom of religion and freedom of conscience he is also a professor emeritus of italian and comparative literature at brigham young university byu where he taught for three decades 19792009 he served as the chair of byus department of french and italian 19891998 an alcuin fellow a karl g maeser general education professor scheuber and veinz professor of humanities and languages and as the director of the byu honors program and an associate dean of undergraduate education 20062009 he is a specialist in the epic tradition of italian literature from dante to tasso and the author and editor of several books including dante and ovid essays in intertextuality and a translation of the cabala of pegasus by giordano bruno yale university press he has also served as the organizer of various library and museum exhibits of rare dance books and printssowell was born and reared in piggott arkansas where he still owns and maintains family cotton and rice farms he joined the church of jesus christ of latterday saints lds church when he was 17 shortly before beginning his undergraduate studies in the byu honors program he then served a mission in the italy north mission 19711973sowell has a bachelors degree summa cum laude from byu 1975 and a masters degree 1976 and phd 1979 in romance languages and literatures from harvard university where he won the jacoby prize for scholarship and his departments travelstudy prize for outstanding teaching at harvard he studied italian literature with dante della terza a pupil of luigi russo italian renaissance history with the renowned historian felix gilbert and epic poetry with the celebrated translator robert fitzgeraldsowell has written over 100 articles book reviews and essays primarily related to dante and italian literature his illustrated book il balletto romantico palermo lepos 2007 was coauthored with debra h sowell a dance historian and southern virginia university professor of humanities who is also his wife he has also served as an editor of the journal of the rocky mountain medieval and renaissance associationin early 2009 sowell was appointed a member of the board of trustees of southern virginia university where he lectured on dante and medieval and renaissance art and participated in the executive lecture series on july 29 2010 he was appointed interim provost at svu on april 12 2011 he became the provost at southern virginia the provost reports to and works closely with the president is the chief academic officer and leads the universitys academic areas and facultysowell served from 1998 to 2001 as president of the italy milan mission he has also served as an lds high councilor bishop a missionary training center branch president a ward young mens president and a counselor in the west virginia charleston mission presidency
Harry B. Luthi,harry b luthi sr born 1933 is a retired businessman who served briefly as the 32nd mayor of greenville south carolina his tenure extended from veterans day 1982 to june 13 1983 he was a member of the greenville city council from 1975 to 1982 as mayor pro tem he succeed to the mayoral office upon the death of jesse l helmsin 2009 luthi donated to the unsuccessful campaign of state senator david l thomas to the united states house of representatives from south carolinas 4th congressional district which includes greenville county thomas challenged the incumbent republican bob inglis in a primary election luthi and thomas had served together from 1979 to 1983 on the greenville city council victory in the 2010 congressional race however went to a third stillserving greenville republican trey gowdyluthi operated luthis outfitters a sporting goods company begun in 1946 by his father olin s luthi 19091968 located at 23 butler avenue in downtown greenville luthis closed on christmas eve 2013 because the building was sold to a financial institution however in the spring of 2014 under the continued management of luthis son george stanton stan luthi born c 1960 the business returned in another location in greenville on laurens road next to halfmoon outfitters known for firearms hunting equipment apparel and flyfishing supplies and a pawn shop luthi attracts customers on a regional basis
Abou Diaby,vassiriki abou diaby french pronunciation abu djabi born 11 may 1986 known as abou diaby is a french professional footballer who plays for english club arsenal and the france national team he plays primarily in a box to box role as he is adept in both attacking and defending and is described as a player who is languid elusive and athletic that can either dribble past opponents or slip passes to teammates of ivorian descent diaby also possesses superb touch and excellent close control however on the negative front he often struggles with repetitive injuries a problem that has existed since his time in france his physical appearance and positional preference have evoked comparisons to arsenal legend and compatriot patrick vieiradiaby was born in the 10th arrondissement of paris but was raised in the parisian commune of aubervilliers he began his football career playing for hometown club cm aubervilliers in 1998 he joined red star paris a year later diaby was selected to attend the clairefontaine academy he spent four years at the academy while simultaneously training with red star a year before departing clairefontaine diaby moved to professional club paris saintgermain following an administrative error by club officials which made diaby a free agent he joined the academy of auxerre he spent two years in the clubs youth academy before making his professional debut in the 200405 season diaby also played in the uefa cup with the club after spending the autumn portion of the 200506 season with auxerre in january 2006 diaby signed with english club arsenal on a longterm contract for an undisclosed fee he made his debut with the club that same month and scored his first goal three months later against aston villa diaby suffered a severe ankle fracture five months after joining arsenal and has since struggled with numerous injuriesdiaby is a former french youth international having earned caps at under19 and under21 level prior to playing for the senior team he played on the under19 team that won the 2005 uefa european under19 football championship diaby made his senior international debut in march 2007 in a uefa euro 2008 qualifying match against lithuania he has represented france at one major international tournament the 2010 fifa world cup diaby participated in all three group stage matches the team played as a starter
Roger Sedarat,roger sedarat is an iranianamerican poet he is the author of two poetry collections dear regime letters to the islamic republic which was published by the ohio university press and won the presss hollis summers poetry prize and ghazal games ohio university press in his poetry he frequently crosses the postmodern american tradition with the classical persian tradition reproducing his hybrid identity in his verse his poetry and literary translations have appeared in such journals as new england review drunken boat atlanta review and world literature today a poem of his high qwas included in an anthology published by the state university of new york press he is also the author of pupils of the gorgeous wheel a lacanian view of landscape in modern new england poetry cambria under the name of haji roger writes and performs political poetry that challenges oppressive regimes as well as the construct of poetry in the 21st centuryhe was born in normal illinois to an iranian father and american mother and grew up in san antonio texas after attending the university of texas at austin he completed an ma in englishcreative writing at queens college city university of new york and a phd in english at tufts university he currently teaches poetry and literary translation in the mfa program in creative writing and literary translation at queens college city university of new york
Mirwaiz Umar Farooq,mohammad umar farooq born 23 march 1973 is a hereditary kashmiri political leader who is the chairman of the awami action committee and of one of the two key factions of the all parties hurriyat conference a grassroots coalition of propakistan and pro independence parties in jammu kashmir on october 2014 mirwaiz was listed as one of the 500 most influential muslims in world by royal islamic strategic studies centre jordanthe report is issued annually in cooperation with prince alwaleed bin talal center for muslimchristian understanding at georgetown university in the united statesas the mirwaiz mirhead waizpriest of kashmir and chairman of the hurriyat conference has both an important religious and political role in the kashmir valley and farooq is seen as the spiritual leader of kashmirs muslimsat the age of 17 following the assassination of his father by unknown gunmen mirwaiz maulvi farooq the leader of awami action committee umar farooq united 23 kashmiri pro pakistan andor pro independence organizations into the all parties hurriyat conference aphc he has constantly tried to raise much awareness about the kashmir issue internationally he was also shown among the asian heroes by the times magazine he maintains that dialogue must take place with india and pakistan so long as the kashmiri aspirations are heard as wellhe inherited as the 14th mirwaiz kashmiri term for traditional preacher of muslims in kashmir in 1990 before joining the propakistan kashmir politics mirwaiz umar farooq was an alumnus of the prestigious burn hall school in srinagar he had interests in computers and he wanted to become a software engineer but fate had something else in store for this man who became the founderchairman of the all parties hurriyat conference at the age of 20 he also holds a phd in islamic studies from kashmir university
Anthony Hickey,anthony hickey born november 22 1992 is an american college basketball player who plays the point guard position most recently for the louisiana state university tigers on may 13 2014 after his junior season it was announced that hickey was transferring schools in the 201213 ncaa division i season he was a sophomore who finished as that years thirdhighest stealsper game leader in the nation 293 spg in high school hickey was named the 2011 kentucky mr basketball winner while playing for christian county high schoolas a freshman for lsu in 201112 hickey averaged 89 points per game 36 rebounds and 38 assists per game he started 31 of 33 games and played in a first round loss in the 2012 national invitation tournament the following year hickey was suspended for a time in the beginning of the season for universityrelated disciplinary reasons which drew some national attention his absence was shortlived and throughout his sophomore season he has ranked toward the top of the national leader board in steals per game average head coach and lsu alumnus johnny jones who played for the tigers from 1980 to 1984 and registered 136 steals himself conceded that his own spots in the lsu record book were dropping because of hickey as tenacious and ferocious as he is guarding the basketball i think it says a lot about him i think its wonderful i think its great i think there were only two areas steals and assists that i was still kind of lingering around in but im dropping pretty steadily because of the play of this guy
Jim Power (economist),jim power is chief economist at friends first a subsidiary of insurance multinational eureko from waterford ireland he is married and has childrenpower attended university college dublin ucd he has worked for the bank of ireland as its chief economist and for allied irish banks as its treasury economist he teaches at dublin city university and at ucds michael smurfit graduate business schoolhis weekly column features in the irish examiner and he is often to be seen commentating in irelands media in newspapers on radio and on television programmes such as tonight with vincent browne he also edits friends firsts quarterly economic outlookin april 2007 power appeared on prime time where he vehemently opposed ucd professor of economics morgan kellys warning that ireland was heading for economic disaster power repeatedly insisted that the irish property bubble would become more sustainable in the long term that it would not burst and that the reality is that those things soaring interest rates employment shortage a lot of foreign multinationals leaving the country are unlikely to happen within months it hadpower later took to writing about the financial crisis his first book picking up the pieces appeared in 2009 dublin central td paschal donohoe said humane thought provoking book
Bryanboy,bryan grey yambao also known as bryanboy is a filipino fashion blogger socialite and businessman a former web developer he started blogging at age 24 from his parents manila homehis eponymous blog won the 2007 philippine blog award for best fashion lifestyle blog the new york post named him one of the nine hottest internet celebrities and newscomau has called him one of fashion 20s biggest superstars and a phenom in the fashion blogosphere his blog called hysterically camp by the sydney morning herald is known for its witty and often bitchy commentary he has been featured on the panel of cycle 19 americas next top model season 19 as the social media correspondentbryanboy fans often send in photos of themselves in his signature posestanding with hips thrust to one side and a handbag in an outstretched armor with handwritten signs declaring i 3 bryanboy celebrity participants have included marc jacobs tanya dziahileva alexandra agoston and rachel clark though no brand spokesman commented on the matter it was reported that bryanboys trademark pose was referenced in two 2006 fendi advertisements marc jacobs named a handbag after him the bb ostrich bag after bryanboy posted about it in his blogan expos in the september 2012 issue of rogue magazine alleged that bryanboy was involved in the creation of the notorious gossip website chikatime and that his lavish spending is inconsistent with his humble roots and may be funded illicitly
Stefan Dimle,stefan dimle born 7 june 1967 in kping sweden is the bassplayer in the progressive band morte macabre and he is a former member of landberk and paatos he is the driving force in the company mellotronen who also is the organiser of the floating rock festival named the melloboat which are held aboard the ship galaxy mellotronen runs the community melloclub at a caf in stockholmduring the 1980s was stefan dimle member of several local rock bands in his former hometown borlnge one of the bands was kajuku some members from that band are currently in opeth and anekdoten 1986 did stefan dimle start the rock club mellotronen in borlnge the company existed on a parallel basis in stockholm and borlnge the shop had a huge section of rare and hard to find cds lps in the field of progressive rock mellotronen became an important headquarters for musicians and fans of progressive rock during the 1990s the shop mellotronen where located on the fashionable street kkbrinken in gamla stan in the center of stockholm nowadays one can find dimle and his company in the city of gustavsbergstefan dimle was a member of the band landberk between 19901997 they recorded three albums and two eps on various record labels like record heaven mega rock and the american label lasers edge the progressive rock groups landberk nglagrd and anekdoten cooperated a lot and all three of them used the instrument mellotron as a main instrument these three groups led the way for many new bands in the progressive genre all three of them were famous on an international levelthe label mellotronen started 1991 with a cd reissue of solid grounds debut album from 1976 since then has dimle released around 50 different cd and vinyl albums the latest ones are a doublecd with trettioriga kriget and two albums with sabu martinez dimle and mellotronen has cooperated a lot with labels like universal the national swedish radio mnw sony and emitogether with members from landberk and anekdoten dimle started the project morte macabre who has made a career in film circuits with their repertoire of new versions of old soundtracks from mainly italian horror movies the band paatos started in 1999 and dimle performed with them til 2008 paatos has released four albums and 7 inch vinyl single dimle has also performed with emma nordenstam and the machine said behold turid and onkel knkel and his knkelbrin january 2007 organised dimle a rock festival on board the ship silja festival to celebrate the 20th anniversary of the mellotronen company among the many artists that performed on board can the following ones be mentioned flsket brinner november asoka morte macabre solid ground and emma nordenstam in march 2008 was it time for a 2nd rock cruise on the ship silja symphony many people came to see bands like opeth katatonia and comus in april 2009 the third rock cruise was supposed to take place with the destination finland this time on board the ms galaxy however a few months before the date dimle announced that melloboat 2009 had been cancelled among the many artist that was supposed to perform on the cruise was meshuggah may blitz and steven wilson
